 
list-none-none,1,10,1,30,69289,2309
list-none-none,1,100,1,300,110389,367
list-none-none,1,1000,1,3000,61294,20
list-none-none,1,10000,1,30000,83934,2
list-none-none,1,20000,1,60000,70241,1
list-none-none,2,1,1,6,103772,17295
list-none-none,2,10,1,60,88714,1478
list-none-none,2,100,1,600,87072,145
list-none-none,2,1000,1,6000,102309,17
list-none-none,4,1,1,12,151386,12615
list-none-none,4,10,1,120,195298,1627
list-none-none,4,100,1,1200,170799,142
list-none-none,4,1000,1,12000,179796,14
list-none-none,8,1,1,24,322655,13443
list-none-none,8,10,1,240,382754,1594
list-none-none,8,100,1,2400,322691,134
list-none-none,8,1000,1,24000,286410,11
list-none-none,12,1,1,36,464966,12915
list-none-none,12,10,1,360,436558,1212
list-none-none,12,100,1,3600,490012,136
list-none-none,12,1000,1,36000,481028,13
list-i-none,2,1,1,6,100740,16790
list-i-none,2,2,1,12,109762,9146
list-i-none,2,4,1,24,89820,3742
list-i-none,2,8,1,48,142763,2974
list-i-none,2,16,1,96,105585,1099
list-i-none,2,32,1,192,106280,553
list-i-none,4,1,1,12,136930,11410
list-i-none,4,2,1,24,167040,6960
list-i-none,4,4,1,48,145010,3021
list-i-none,4,8,1,96,162544,1693
list-i-none,4,16,1,192,163965,853
list-i-none,8,1,1,24,282780,11782
list-i-none,8,2,1,48,348627,7263
list-i-none,8,4,1,96,257106,2678
list-i-none,8,8,1,192,292658,1524
list-i-none,8,16,1,384,302008,786
list-i-none,12,1,1,36,409107,11364
list-i-none,12,2,1,72,456738,6343
list-i-none,12,4,1,144,403824,2804
list-i-none,12,8,1,288,449634,1561
list-i-none,12,16,1,576,402219,698
list-d-none,2,1,1,6,100641,16773
list-d-none,2,2,1,12,103174,8597
list-d-none,2,4,1,24,95252,3968
list-d-none,2,8,1,48,99492,2072
list-d-none,2,16,1,96,88763,924
list-d-none,2,32,1,192,119197,620
list-d-none,4,1,1,12,150157,12513
list-d-none,4,2,1,24,112038,4668
list-d-none,4,4,1,48,125164,2607
list-d-none,4,8,1,96,155366,1618
list-d-none,4,16,1,192,174142,906
list-d-none,8,1,1,24,286361,11931
list-d-none,8,2,1,48,298292,6214
list-d-none,8,4,1,96,248953,2593
list-d-none,8,8,1,192,262441,1366
list-d-none,8,16,1,384,254677,663
list-d-none,12,1,1,36,402963,11193
list-d-none,12,2,1,72,351584,4883
list-d-none,12,4,1,144,414698,2879
list-d-none,12,8,1,288,395873,1374
list-d-none,12,16,1,576,453513,787
list-il-none,2,1,1,6,89043,14840
list-il-none,2,2,1,12,108512,9042
list-il-none,2,4,1,24,100010,4167
list-il-none,2,8,1,48,71402,1487
list-il-none,2,16,1,96,81145,845
list-il-none,2,32,1,192,120850,629
list-il-none,4,1,1,12,178716,14893
list-il-none,4,2,1,24,179768,7490
list-il-none,4,4,1,48,140691,2931
list-il-none,4,8,1,96,228948,2384
list-il-none,4,16,1,192,147825,769
list-il-none,8,1,1,24,306633,12776
list-il-none,8,2,1,48,254177,5295
list-il-none,8,4,1,96,258050,2688
list-il-none,8,8,1,192,299016,1557
list-il-none,8,16,1,384,271020,705
list-il-none,12,1,1,36,385084,10696
list-il-none,12,2,1,72,477293,6629
list-il-none,12,4,1,144,478533,3323
list-il-none,12,8,1,288,407372,1414
list-il-none,12,16,1,576,482808,838
list-dl-none,2,1,1,6,149518,24919
list-dl-none,2,2,1,12,74206,6183
list-dl-none,2,4,1,24,74123,3088
list-dl-none,2,8,1,48,159630,3325
list-dl-none,2,16,1,96,111026,1156
list-dl-none,2,32,1,192,84745,441
list-dl-none,4,1,1,12,109652,9137
list-dl-none,4,2,1,24,163118,6796
list-dl-none,4,4,1,48,131521,2740
list-dl-none,4,8,1,96,130001,1354
list-dl-none,4,16,1,192,145885,759
list-dl-none,8,1,1,24,290098,12087
list-dl-none,8,2,1,48,310112,6460
list-dl-none,8,4,1,96,270864,2821
list-dl-none,8,8,1,192,271598,1414
list-dl-none,8,16,1,384,256055,666
list-dl-none,12,1,1,36,369865,10274
list-dl-none,12,2,1,72,366989,5097
list-dl-none,12,4,1,144,400865,2783
list-dl-none,12,8,1,288,454224,1577
list-dl-none,12,16,1,576,407925,708
list-i-m,12,32,1,1152,365482,317
list-d-m,12,32,1,1152,412546,358
list-il-m,12,32,1,1152,502138,435
list-dl-m,12,32,1,1152,465028,403
list-i-s,12,32,1,1152,469425,407
list-d-s,12,32,1,1152,468750,406
list-il-s,12,32,1,1152,376380,326
list-dl-s,12,32,1,1152,455964,395
list-none-none,1,1000,1,3000,69020,23
list-none-m,1,1000,1,3000,88981,29
list-none-m,2,1000,1,6000,90160,15
list-none-m,4,1000,1,12000,132186,11
list-none-m,8,1000,1,24000,315471,13
list-none-m,12,1000,1,36000,343362,9
list-none-m,16,1000,1,48000,586079,12
list-none-m,24,1000,1,72000,937976,13
list-none-s,1,1000,1,3000,61975,20
list-none-s,2,1000,1,6000,116573,19
list-none-s,4,1000,1,12000,114091,9
list-none-s,8,1000,1,24000,376547,15
list-none-s,12,1000,1,36000,424625,11
list-none-s,16,1000,1,48000,597253,12
list-none-s,24,1000,1,72000,774264,10
