 
add-none,2,100,400,178857,447,0
add-none,2,1000,4000,229572,57,11
add-none,2,10000,40000,712746,17,143
add-none,2,100000,400000,6439306,16,788
add-none,4,100,800,216972,271,0
add-none,4,1000,8000,227951,28,11
add-none,4,10000,80000,1710374,21,401
add-none,4,100000,800000,18053491,22,4504
add-none,8,100,1600,415589,259,0
add-none,8,1000,16000,357416,22,2
add-none,8,10000,160000,4116442,25,696
add-none,8,100000,1600000,42254537,26,6164
add-none,12,100,2400,573296,238,0
add-none,12,1000,24000,702090,29,87
add-none,12,10000,240000,6318748,26,672
add-none,12,100000,2400000,65608215,27,6791
add-yield-none,2,10,40,202581,5064,0
add-yield-none,4,10,80,219295,2741,0
add-yield-none,8,10,160,389824,2436,1
add-yield-none,12,10,240,531649,2215,1
add-yield-none,2,20,80,193793,2422,0
add-yield-none,4,20,160,224647,1404,2
add-yield-none,8,20,320,457157,1428,1
add-yield-none,12,20,480,571284,1190,4
add-yield-none,2,40,160,277495,1734,0
add-yield-none,4,40,320,283529,886,0
add-yield-none,8,40,640,406231,634,2
add-yield-none,12,40,960,530751,552,3
add-yield-none,2,80,320,305354,954,1
add-yield-none,4,80,640,378358,591,1
add-yield-none,8,80,1280,475179,371,1
add-yield-none,12,80,1920,629370,327,4
add-yield-none,2,100,400,362170,905,0
add-yield-none,4,100,800,428990,536,1
add-yield-none,8,100,1600,524728,327,1
add-yield-none,12,100,2400,621825,259,2
add-yield-none,2,1000,4000,2020362,505,0
add-yield-none,4,1000,8000,2091564,261,3
add-yield-none,8,1000,16000,2318281,144,12
add-yield-none,12,1000,24000,2919491,121,12
add-yield-none,2,10000,40000,20260744,506,3
add-yield-none,4,10000,80000,19345193,241,12
add-yield-none,8,10000,160000,20672408,129,108
add-yield-none,12,10000,240000,25585314,106,162
add-yield-none,2,100000,400000,181021608,452,2
add-yield-none,4,100000,800000,189301815,236,510
add-yield-none,8,100000,1600000,208293572,130,1271
add-yield-none,12,100000,2400000,257101808,107,1842
add-none,1,100,200,141586,707,0
add-none,1,1000,2000,153136,76,0
add-none,1,10000,20000,284195,14,0
add-none,1,100000,200000,1445188,7,0
add-none,1,1000000,2000000,11921639,5,0
add-none,2,100,400,195370,488,0
add-none,2,1000,4000,166268,41,0
add-none,2,10000,40000,767519,19,125
add-none,2,100000,400000,6520387,16,1643
add-none,2,1000000,4000000,62894280,15,13963
add-none,4,100,800,239959,299,0
add-none,4,1000,8000,255020,31,7
add-none,4,10000,80000,1947339,24,470
add-none,4,100000,800000,16827522,21,3983
add-none,4,1000000,8000000,171693178,21,40952
add-yield-none,1,100,200,327268,1636,0
add-yield-none,1,1000,2000,1752698,876,0
add-yield-none,1,10000,20000,15359722,767,0
add-yield-none,1,100000,200000,146152881,730,0
add-yield-none,1,1000000,2000000,1591593229,795,0
add-yield-none,2,100,400,333486,833,0
add-yield-none,2,1000,4000,2080377,520,0
add-yield-none,2,10000,40000,19382166,484,0
add-yield-none,2,100000,400000,182370367,455,5
add-yield-none,2,1000000,4000000,1730068446,432,8
add-yield-none,4,100,800,401257,501,0
add-yield-none,4,1000,8000,2093340,261,2
add-yield-none,4,10000,80000,18977393,237,1
add-yield-none,4,100000,800000,187397683,234,66
add-yield-none,4,1000000,8000000,1909352922,238,1712
add-yield-m,2,10000,40000,52155397,1303,0
add-yield-m,4,10000,80000,106439117,1330,0
add-yield-m,8,10000,160000,275998465,1724,0
add-yield-m,12,10000,240000,437313004,1822,0
add-yield-c,2,10000,40000,35571946,889,0
add-yield-c,4,10000,80000,73608221,920,0
add-yield-c,8,10000,160000,135417341,846,0
add-yield-c,12,10000,240000,178327723,743,0
add-yield-s,2,10000,40000,38950870,973,0
add-yield-s,4,10000,80000,101613347,1270,0
add-yield-s,8,1000,16000,25065640,1566,0
add-yield-s,12,1000,24000,40160602,1673,0
add-m,1,10000,20000,790234,39,0
add-m,2,10000,40000,2958333,73,0
add-m,4,10000,80000,11364355,142,0
add-m,8,10000,160000,26762397,167,0
add-m,12,10000,240000,37169056,154,0
add-c,1,10000,20000,506248,25,0
add-c,2,10000,40000,3171503,79,0
add-c,4,10000,80000,7828057,97,0
add-c,8,10000,160000,17394863,108,0
add-c,12,10000,240000,27300695,113,0
add-s,1,10000,20000,362177,18,0
add-s,2,10000,40000,4087989,102,0
add-s,4,10000,80000,32443318,405,0
add-s,8,10000,160000,99372597,621,0
add-s,12,10000,240000,230468879,960,0
